pre,post,syn
DNp11_L,LC4_L,8
LC10a_L,AOTU015_L,2455
AOTU012_L,AOTU015_L,7
AOTU015_L,AOTU015_L,32
AOTU025_L,AOTU015_L,1
AOTU019_R,AOTU015_L,36
DNa03_L,AOTU015_L,1
AOTU001_R,AOTU015_L,2
AOTU001_L,AOTU015_R,3
LC10a_R,AOTU015_R,2980
AOTU015_R,AOTU015_R,62
AOTU019_L,AOTU015_R,59
AOTU019_R,AOTU015_R,3
DNa02_L,AOTU015_L,4
AOTU019_L,AOTU015_L,2
AOTU012_R,AOTU015_R,1
DNa02_R,AOTU015_R,3
LC10a_L,AOTU012_L,1974
AOTU001_L,AOTU012_L,1
AOTU015_L,AOTU012_L,2
AOTU019_L,AOTU012_L,3
AOTU025_R,AOTU012_R,2
LC10a_R,AOTU012_R,2435
AOTU001_R,AOTU012_R,1
PSI_R,PSI_L,17
DNp01_L,PSI_L,9
DNp01_R,PSI_L,3
PSI_L,PSI_R,5
DNp11_L,PSI_R,1
DNp01_L,PSI_R,2
DNp01_R,PSI_R,2
LPLC2_R,LPLC2_R,21645
LC10a_R,LPLC2_R,21
LC4_R,LPLC2_R,220
PVLP151_L,LPLC2_R,62
LPLC2_L,LPLC2_L,24533
PVLP151_L,LPLC2_L,517
LC4_L,LPLC2_L,141
PVLP151_R,LPLC2_L,99
LC10a_L,LPLC2_L,14
LC6_L,LPLC2_L,13
LC6_R,LPLC2_R,14
DNp11_L,LPLC2_L,1
DNp01_L,LPLC2_L,3
DNp11_R,LPLC2_R,1
DNp01_R,LPLC2_R,5
