pre,post,weight
10017,10074,10
10017,10091,1
10017,10128,8
10017,10146,24
10017,10147,3
10017,10153,1
10017,10197,9
10017,10244,1
10017,10246,3
10017,10252,6
10017,10257,39
10017,10259,3
10017,10283,25
10017,10361,6
10017,10417,3
10017,10584,2
10017,10709,1
10017,10728,13
10017,10778,4
10017,10887,2
10017,10944,2
10017,11091,1
10017,11118,1
10017,11272,2
10017,11361,7
10017,11378,6
10017,11391,1
10017,11509,1
10017,11572,3
10017,11599,1
10017,11832,3
10017,12110,2
10017,12215,2
10017,12459,3
10017,12614,8
10017,12628,2
10017,12857,3
10017,13122,1
10017,13472,2
10017,13963,1
10017,14106,1
10017,15261,1
10017,15791,1
10017,15831,1
10017,15994,1
10017,16263,2
10017,17270,1
10017,17375,2
10017,17478,1
10017,18907,2
10017,19924,1
10017,20006,1
10017,23226,1
10017,27010,1
10017,30194,6
10017,33037,4
10017,74052,1
10017,76637,1
10017,76746,2
10017,110055,2
10017,136628,1
10017,199352,2
10017,511752,2
10017,511996,4
10017,512176,2
10017,512415,2
10017,514956,1
10017,514979,2
10017,515145,1
10017,515476,1
10017,515900,1
10017,519389,2
10017,519539,1
10017,520409,1
10017,520664,2
10017,521463,2
10017,521693,4
10017,522302,1
10017,522711,3
10017,523644,6
10017,523858,1
10017,524162,1
10017,524789,1
10017,527690,2
10017,527704,1
10017,529811,1
10017,531898,18
10017,531899,2
10017,531985,3
10017,533752,1
10030,10005,6
10030,10109,1
10030,10118,4
10030,10136,4
10030,10192,2
10030,10197,31
10030,10202,2
10030,10203,202
10030,10263,1
10030,10333,115
10030,10373,1
10030,10442,67
10030,10502,1
10030,10536,1
10030,10775,1
10030,10778,1
10030,10783,2
10030,10795,1
10030,10868,6
10030,10872,21
10030,10923,1
10030,10962,7
10030,10971,7
10030,11014,2
10030,11205,5
10030,11416,4
10030,11441,99
10030,11507,1
10030,11750,9
10030,11795,12
10030,11895,9
10030,11950,1
10030,12143,4
10030,12990,2
10030,13274,1
10030,14373,2
10030,18340,1
10030,33037,1
10030,33335,12
10030,36925,4
10030,38847,2
10030,46003,1
10030,89545,1
10030,154152,1
10030,162166,2
10030,511752,1
10030,512118,1
10030,513114,2
10030,515799,1
10030,515800,1
10030,516362,15
10030,516820,76
